,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
32,0.000858,https://api.spotify.com/v1/audio-analysis/6OJFi4itqqQvgnJn3zj8nR,0.943,312875,0.719,6OJFi4itqqQvgnJn3zj8nR,0.0126,5,0.0774,-3.39,1,0.0504,120.004,4,https://api.spotify.com/v1/tracks/6OJFi4itqqQvgnJn3zj8nR,audio_features,spotify:track:6OJFi4itqqQvgnJn3zj8nR,0.648
33,0.161,https://api.spotify.com/v1/audio-analysis/5GCrBPWKpgH4H3bLLnvWm7,0.839,279429,0.644,5GCrBPWKpgH4H3bLLnvWm7,0.762,2,0.086,-5.159,0,0.0429,104.98,4,https://api.spotify.com/v1/tracks/5GCrBPWKpgH4H3bLLnvWm7,audio_features,spotify:track:5GCrBPWKpgH4H3bLLnvWm7,0.102
34,0.253,https://api.spotify.com/v1/audio-analysis/5Li5NjwnL8JABwMgY9ul6R,0.805,191340,0.662,5Li5NjwnL8JABwMgY9ul6R,0.000633,2,0.323,-4.852,0,0.0377,113.973,4,https://api.spotify.com/v1/tracks/5Li5NjwnL8JABwMgY9ul6R,audio_features,spotify:track:5Li5NjwnL8JABwMgY9ul6R,0.498
35,0.0321,https://api.spotify.com/v1/audio-analysis/2LwjE1aZB2jXweBEiQaUc2,0.73,267586,0.618,2LwjE1aZB2jXweBEiQaUc2,0.611,11,0.184,-6.559,0,0.0433,123.995,4,https://api.spotify.com/v1/tracks/2LwjE1aZB2jXweBEiQaUc2,audio_features,spotify:track:2LwjE1aZB2jXweBEiQaUc2,0.595
36,0.167,https://api.spotify.com/v1/audio-analysis/4q0snbJ69gaEbxTf9glk6l,0.818,147878,0.8,4q0snbJ69gaEbxTf9glk6l,0.00178,7,0.139,-6.794,1,0.0403,125.026,4,https://api.spotify.com/v1/tracks/4q0snbJ69gaEbxTf9glk6l,audio_features,spotify:track:4q0snbJ69gaEbxTf9glk6l,0.816
37,0.222,https://api.spotify.com/v1/audio-analysis/6kZP5MRp51KZJYovS1xIVD,0.639,186405,0.726,6kZP5MRp51KZJYovS1xIVD,0.0,6,0.108,-5.254,1,0.0657,117.874,4,https://api.spotify.com/v1/tracks/6kZP5MRp51KZJYovS1xIVD,audio_features,spotify:track:6kZP5MRp51KZJYovS1xIVD,0.279
38,0.00225,https://api.spotify.com/v1/audio-analysis/3PmAQYQZ1ow47InQjZjIH4,0.663,186816,0.855,3PmAQYQZ1ow47InQjZjIH4,8.21e-05,5,0.0943,-6.017,0,0.0399,121.958,4,https://api.spotify.com/v1/tracks/3PmAQYQZ1ow47InQjZjIH4,audio_features,spotify:track:3PmAQYQZ1ow47InQjZjIH4,0.367
39,0.03,https://api.spotify.com/v1/audio-analysis/3bEbXVHKItwRWTmO9pxXzL,0.611,210612,0.851,3bEbXVHKItwRWTmO9pxXzL,0.000138,9,0.15,-5.658,0,0.0422,140.045,4,https://api.spotify.com/v1/tracks/3bEbXVHKItwRWTmO9pxXzL,audio_features,spotify:track:3bEbXVHKItwRWTmO9pxXzL,0.328
40,0.0585,https://api.spotify.com/v1/audio-analysis/1SdDQC9K1jJNvAB1HqiSxg,0.699,198002,0.738,1SdDQC9K1jJNvAB1HqiSxg,0.00054,7,0.0524,-6.25,1,0.069,112.949,4,https://api.spotify.com/v1/tracks/1SdDQC9K1jJNvAB1HqiSxg,audio_features,spotify:track:1SdDQC9K1jJNvAB1HqiSxg,0.638
41,0.0142,https://api.spotify.com/v1/audio-analysis/5k0AHuRDftdWG4uCLtfjzU,0.736,210953,0.872,5k0AHuRDftdWG4uCLtfjzU,0.0,9,0.114,-4.128,0,0.0508,119.983,4,https://api.spotify.com/v1/tracks/5k0AHuRDftdWG4uCLtfjzU,audio_features,spotify:track:5k0AHuRDftdWG4uCLtfjzU,0.537
42,0.0133,https://api.spotify.com/v1/audio-analysis/2juQNNqyFfPQV8bCXgLuPV,0.717,164000,0.854,2juQNNqyFfPQV8bCXgLuPV,0.0108,2,0.248,-3.994,0,0.057,119.985,4,https://api.spotify.com/v1/tracks/2juQNNqyFfPQV8bCXgLuPV,audio_features,spotify:track:2juQNNqyFfPQV8bCXgLuPV,0.466
